Fecha,IPC General,IPC sin volátiles
6/1/2018,2.55,1.98
7/1/2018,2.66,2.04
8/1/2018,2.63,2.16
9/1/2018,3.14,2.2
10/1/2018,2.91,2.13
11/1/2018,2.82,2.32
12/1/2018,2.56,2.27
1/1/2019,1.79,2.1
2/1/2019,1.73,2.1
3/1/2019,2,2.2
4/1/2019,2,2.3
5/1/2019,2.35,2.2
6/1/2019,2.31,2.2
7/1/2019,2.2,2.2
8/1/2019,2.31,2.2
9/1/2019,2.11,2.3
10/1/2019,2.54,2.5
11/1/2019,2.71,2.4
12/1/2019,3,2.6
1/1/2020,3.47,2.4
2/1/2020,3.88,2.6
3/1/2020,3.74,2.6
4/1/2020,3.42,2.7
5/1/2020,2.75,2.6
6/1/2020,2.63,2.5
7/1/2020,2.5,2.5
8/1/2020,2.45,2.6
9/1/2020,3.08,2.9
10/1/2020,2.96,3.2
11/1/2020,2.73,3.2
12/1/2020,2.97,3.3
1/1/2021,3.11,3.5
2/1/2021,2.84,3.2
3/1/2021,2.89,3
4/1/2021,3.32,3.1
5/1/2021,3.65,3.4
6/1/2021,3.8,3.2
7/1/2021,4.54,3.8
8/1/2021,4.78,3.8
9/1/2021,5.34,4.2
10/1/2021,6.03,3.9
11/1/2021,6.7,4.7
12/1/2021,7.17,5.2
1/1/2022,7.7,5.8
2/1/2022,7.82,6.5
3/1/2022,9.4,7.6
4/1/2022,10.52,8.3
5/1/2022,11.54,9
6/1/2022,12.49,9.9
7/1/2022,13.12,10
8/1/2022,14.08,10.8
9/1/2022,13.73,11.1
10/1/2022,12.81,10.8
11/1/2022,13.34,11
12/1/2022,12.78,10.7
1/1/2023,12.34,10.6
2/1/2023,11.94,10.7
3/1/2023,11.1,10.8
4/1/2023,9.91,10.3
5/1/2023,8.73,9.9
6/1/2023,7.56,9.1
7/1/2023,6.47,8.5
8/1/2023,5.32,7.4
9/1/2023,5.12,6.6
10/1/2023,5.04,6.5
11/1/2023,4.8,6
12/1/2023,3.94,5.4
